job_id,skills,description,num_of_applies
101,"Django,Angular,TypeScript,Docker,SQL",Django Developer,25
102,"Node.js,TypeScript,C++,Java",Java Developer,8
103,"FastAPI,Python,Deep Learning,Docker",Docker Developer,46
104,"Deep Learning,Data Engineering,SQL,Angular,Java",Angular Developer,20
105,"Python,Django,FastAPI",Python Developer,13
106,"Angular,MongoDB,Java",Java Developer,43
107,"JavaScript,Deep Learning,C++,Kubernetes,Node.js",C++ Developer,12
108,"NLP,Node.js,Python,FastAPI,C++",Python Developer,14
109,"React,Django,Node.js,Spring Boot",Node.js Developer,47
110,"AWS,Node.js,SQL,TypeScript,MongoDB,Java",Java Developer,7
111,"Django,FastAPI,Spring Boot",FastAPI Developer,13
112,"Docker,Java,SQL",Docker Developer,34
113,"NLP,Deep Learning,MongoDB,TypeScript",TypeScript Developer,8
114,"Java,Docker,JavaScript,NLP,TypeScript,C++",NLP Developer,34
115,"Angular,Spring Boot,C++,React,FastAPI",Spring Boot Developer,29
116,"Python,Spring Boot,FastAPI",Python Developer,18
117,"Angular,SQL,Docker,Data Engineering,FastAPI",Angular Developer,17
118,"Docker,Kubernetes,FastAPI,NLP,JavaScript,Spring Boot",Kubernetes Developer,47
119,"JavaScript,Spring Boot,Angular,Python,AWS,C++",Spring Boot Developer,12
120,"React,MongoDB,NLP",React Developer,47
121,"Machine Learning,Django,FastAPI,SQL,Python,React",React Developer,49
122,"Django,TypeScript,Python,Deep Learning,AWS",AWS Developer,18
123,"JavaScript,NLP,SQL,Python",Python Developer,14
124,"React,FastAPI,SQL",FastAPI Developer,15
125,"Data Engineering,AWS,Deep Learning,Spring Boot,Node.js,Angular",Deep Learning Developer,28
126,"Python,Docker,React,SQL,TypeScript,Spring Boot",Python Developer,28
127,"MongoDB,Data Engineering,Docker,FastAPI,Python,NLP",Docker Developer,38
128,"Angular,Docker,Deep Learning,Machine Learning,C++",Deep Learning Developer,16
129,"AWS,Java,React",React Developer,24
130,"FastAPI,Python,Spring Boot",Spring Boot Developer,21
131,"Machine Learning,Data Engineering,FastAPI,Node.js",Machine Learning Developer,33
132,"JavaScript,C++,FastAPI,Python",FastAPI Developer,40
133,"Kubernetes,Angular,Java",Java Developer,8
134,"Kubernetes,Machine Learning,React",Machine Learning Developer,32
135,"TypeScript,Deep Learning,Data Engineering,Node.js,C++",Node.js Developer,39
136,"Kubernetes,NLP,SQL",NLP Developer,21
137,"Docker,Node.js,Data Engineering,TypeScript,Angular,Python",Node.js Developer,20
138,"JavaScript,C++,MongoDB,Deep Learning,AWS",JavaScript Developer,7
139,"Angular,Machine Learning,SQL",Machine Learning Developer,29
140,"React,Data Engineering,Docker,SQL",Data Engineering Developer,30
141,"React,Data Engineering,Angular,Docker,Kubernetes",Angular Developer,29
142,"Spring Boot,Java,Data Engineering,React",React Developer,18
143,"Kubernetes,Node.js,TypeScript,Machine Learning",Node.js Developer,20
144,"Data Engineering,Python,Machine Learning,Node.js,Deep Learning,Angular",Machine Learning Developer,35
145,"JavaScript,Deep Learning,Java",JavaScript Developer,18
146,"Spring Boot,SQL,Deep Learning,C++,Angular",Spring Boot Developer,50
147,"Django,Python,FastAPI,Deep Learning",Django Developer,22
148,"SQL,Spring Boot,C++,Data Engineering,JavaScript,Kubernetes",Kubernetes Developer,31
149,"Kubernetes,Deep Learning,MongoDB,JavaScript,Spring Boot",JavaScript Developer,20
150,"JavaScript,Deep Learning,React,TypeScript,SQL",JavaScript Developer,28
151,"Deep Learning,React,MongoDB,AWS,Spring Boot",React Developer,27
152,"NLP,Node.js,Django",Django Developer,49
153,"Spring Boot,React,Machine Learning",Machine Learning Developer,35
154,"AWS,MongoDB,C++",MongoDB Developer,47
155,"Deep Learning,JavaScript,Machine Learning,Data Engineering,Angular",Deep Learning Developer,43
156,"AWS,Python,TypeScript,Java,MongoDB",TypeScript Developer,12
157,"Machine Learning,Kubernetes,C++,MongoDB,SQL,TypeScript",MongoDB Developer,18
158,"Docker,Node.js,AWS,C++,Deep Learning,Django",Deep Learning Developer,20
159,"Kubernetes,Spring Boot,React,Machine Learning,C++,Angular",Machine Learning Developer,43
160,"MongoDB,Node.js,Kubernetes",MongoDB Developer,33
